edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,25,0.09626580774784088,0.03658134117722511,0.08739984780550003,0.0,TN
1,0,26,0.09211260080337524,0.0996071994304657,0.08641986548900604,0.0,TN
2,0,27,0.09135422855615616,0.018036382272839546,0.08345982432365417,0.0,TN
3,0,28,0.09515903145074844,0.23037731647491455,0.08658494800329208,0.0,TN
4,0,30,0.09706008434295654,0.23325994610786438,0.0821552723646164,0.0,TN
5,0,31,0.09518991410732269,0.18316353857517242,0.08565065264701843,0.0,TN
6,0,35,0.09530593454837799,0.22571240365505219,0.08540123701095581,0.0,TN
7,0,37,0.08631232380867004,0.21846851706504822,0.07677394151687622,0.0,TN
8,0,39,0.09238826483488083,0.258078396320343,0.0800255686044693,0.0,TN
9,0,42,0.09699825942516327,0.1904769092798233,0.07926781475543976,0.0,TN
10,1,26,0.09238122403621674,0.27379199862480164,0.06912800669670105,0.0,TN
11,1,32,0.08303943276405334,0.005330873653292656,0.07523959875106812,0.0,TN
12,1,38,0.07865175604820251,0.0007244035368785262,0.07041703909635544,0.0,TN
13,1,44,0.09944972395896912,0.00026306870859116316,0.7325037717819214,1.0,TP
14,1,45,0.08929568529129028,0.036557912826538086,0.07639427483081818,0.0,TN
15,1,46,0.09629032760858536,0.00951720867305994,0.07222189009189606,0.0,TN
16,1,47,0.09552891552448273,0.0766294002532959,0.0720684677362442,0.0,TN
17,1,49,0.09477180242538452,0.09346524626016617,0.08827142417430878,0.0,TN
18,1,50,0.09656112641096115,0.00011471724428702146,0.0704784095287323,0.0,TN
19,1,86,0.08403919637203217,0.0039327326230704784,0.07037654519081116,0.0,TN
20,2,3,0.09646372497081757,0.017148345708847046,0.8291088342666626,1.0,TP
21,2,4,0.09966951608657837,0.029575612396001816,0.44666653871536255,0.0,TN
22,2,5,0.08829008787870407,0.07304345071315765,0.07383182644844055,0.0,TN
23,2,6,0.09329322725534439,0.012502295896410942,0.07583402097225189,0.0,TN
24,2,7,0.08348439633846283,0.043318577110767365,0.13081693649291992,0.0,TN
25,2,8,0.07950463891029358,0.040069542825222015,0.10130837559700012,0.0,TN
26,2,9,0.09393949806690216,0.009931610897183418,0.09200140833854675,0.0,TN
27,2,10,0.09201090037822723,0.3517996370792389,0.08229009807109833,0.0,TN
28,2,16,0.08646233379840851,0.02569746971130371,0.08049838244915009,0.0,TN
29,2,51,0.09167090058326721,0.06027081608772278,0.09062446653842926,0.0,TN
30,3,2,0.09646372497081757,0.017148345708847046,0.8291088342666626,1.0,TP
31,3,4,0.09404366463422775,0.007690876722335815,0.761048436164856,0.0,FP
32,3,5,0.08436320722103119,0.06320006400346756,0.10411921888589859,0.0,TN
33,3,6,0.08821235597133636,0.004620415158569813,0.687354564666748,0.0,TN
34,3,7,0.08045682311058044,0.04059172421693802,0.7051980495452881,0.0,TN
35,3,8,0.0740397572517395,0.05919931083917618,0.6241801977157593,1.0,FN
36,3,9,0.08819659054279327,0.0030622491613030434,0.0923425555229187,0.0,TN
37,3,10,0.08700758218765259,0.2899593114852905,0.07500579208135605,0.0,TN
38,3,11,0.07509518414735794,0.027536749839782715,0.07988579571247101,0.0,TN
39,3,16,0.08261685818433762,0.004913174547255039,0.18905723094940186,0.0,TN
40,3,52,0.07709556818008423,0.002983617829158902,0.09861248731613159,0.0,TN
41,4,2,0.09966951608657837,0.029575612396001816,0.44666653871536255,0.0,TN
42,4,3,0.09404366463422775,0.007690876722335815,0.761048436164856,0.0,FP
43,4,5,0.08957557380199432,0.06391362845897675,0.10731334984302521,0.0,TN
44,4,6,0.0919990986585617,0.01544136181473732,0.06922084093093872,0.0,TN
45,4,7,0.08446148037910461,0.03393513709306717,0.17051032185554504,0.0,TN
46,4,8,0.07940097153186798,0.035231322050094604,0.14536899328231812,0.0,TN
47,4,9,0.09274353086948395,0.01227276585996151,0.08664491772651672,0.0,TN
48,4,10,0.09277410805225372,0.350471556186676,0.09587951004505157,0.0,TN
49,4,11,0.08091780543327332,0.02031787298619747,0.10633771121501923,0.0,TN
50,4,51,0.09244829416275024,0.04784663766622543,0.12774597108364105,0.0,TN
51,5,2,0.08829008787870407,0.07304345071315765,0.07383182644844055,0.0,TN
52,5,3,0.08436320722103119,0.06320006400346756,0.10411921888589859,0.0,TN
53,5,4,0.08957557380199432,0.06391362845897675,0.10731334984302521,0.0,TN
54,5,6,0.0795990526676178,0.11295777559280396,0.5316604375839233,0.0,TN
55,5,7,0.07234034687280655,0.17288510501384735,0.7533431053161621,1.0,TP
56,5,8,0.06828580051660538,0.10082807391881943,0.139730304479599,0.0,TN
57,5,11,0.06815526634454727,0.0501498207449913,0.09123632311820984,0.0,TN
58,5,12,0.08973681926727295,0.23714569211006165,0.08668328821659088,0.0,TN
59,5,16,0.07394671440124512,0.1536133587360382,0.8797512650489807,1.0,TP
60,5,18,0.07381648570299149,0.12412559986114502,0.10081644356250763,0.0,TN
61,5,21,0.06521947681903839,0.03721153736114502,0.09459046274423599,0.0,TN
62,5,52,0.07040935754776001,0.09739218652248383,0.08817104995250702,0.0,TN
63,5,56,0.06618835777044296,0.02583921141922474,0.09380056709051132,0.0,TN
64,6,2,0.09329322725534439,0.012502295896410942,0.07583402097225189,0.0,TN
65,6,3,0.08821235597133636,0.004620415158569813,0.687354564666748,0.0,TN
66,6,4,0.0919990986585617,0.01544136181473732,0.06922084093093872,0.0,TN
67,6,5,0.0795990526676178,0.11295777559280396,0.5316604375839233,0.0,TN
68,6,7,0.07600492984056473,0.07839439809322357,0.7900991439819336,1.0,TP
69,6,8,0.07045590877532959,0.050308708101511,0.6543788909912109,0.0,TN
70,6,9,0.08362039923667908,0.002788705052807927,0.07198908925056458,0.0,TN
71,6,10,0.08278775215148926,0.20100045204162598,0.0752047747373581,0.0,TN
72,6,11,0.07057904452085495,0.0165998637676239,0.06798721104860306,0.0,TN
73,6,51,0.08226567506790161,0.02762492187321186,0.07281840592622757,0.0,TN
74,6,52,0.07396771013736725,0.004388801287859678,0.09438876807689667,0.0,TN
75,6,55,0.092288538813591,0.019189169630408287,0.06749802082777023,0.0,TN
76,7,2,0.08348439633846283,0.043318577110767365,0.13081693649291992,0.0,TN
77,7,3,0.08045682311058044,0.04059172421693802,0.7051980495452881,0.0,TN
78,7,4,0.08446148037910461,0.03393513709306717,0.17051032185554504,0.0,TN
79,7,5,0.07234034687280655,0.17288510501384735,0.7533431053161621,1.0,TP
