edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.10044741630554199,0.0751081258058548,0.913528323173523,0.0,FP
1,0,2,0.08756350725889206,0.015294944867491722,0.10087519884109497,0.0,TN
2,0,3,0.09318047761917114,0.032074593007564545,0.10436733067035675,0.0,TN
3,0,4,0.09173047542572021,0.1071450486779213,0.10977437347173691,0.0,TN
4,0,5,0.09370754659175873,0.018069319427013397,0.08284429460763931,0.0,TN
5,0,6,0.09242008626461029,0.009577704593539238,0.09400540590286255,0.0,TN
6,0,7,0.0857793539762497,0.03582281619310379,0.09620578587055206,0.0,TN
7,0,14,0.08130217343568802,0.05107896029949188,0.09192931652069092,0.0,TN
8,0,22,0.09100261330604553,0.3823595941066742,0.1227911189198494,0.0,TN
9,0,26,0.08447329699993134,0.03806091472506523,0.10572654753923416,0.0,TN
10,1,0,0.10044741630554199,0.0751081258058548,0.913528323173523,0.0,FP
11,1,2,0.0875629335641861,0.02415841817855835,0.10487795621156693,0.0,TN
12,1,3,0.09322965145111084,0.03689991682767868,0.10493866354227066,0.0,TN
13,1,4,0.09176978468894958,0.09364452213048935,0.10993054509162903,0.0,TN
14,1,5,0.09370113909244537,0.02649448625743389,0.08522112667560577,0.0,TN
15,1,6,0.0921153575181961,0.015423813834786415,0.09947234392166138,0.0,TN
16,1,7,0.08587710559368134,0.05428155139088631,0.09755079448223114,0.0,TN
17,1,22,0.09024239331483841,0.3879508674144745,0.11248250305652618,0.0,TN
18,1,23,0.08363962173461914,0.17717662453651428,0.12868520617485046,0.0,TN
19,1,26,0.08406683802604675,0.04227461293339729,0.10526901483535767,0.0,TN
20,2,0,0.08756350725889206,0.015294944867491722,0.10087519884109497,0.0,TN
21,2,1,0.0875629335641861,0.02415841817855835,0.10487795621156693,0.0,TN
22,2,3,0.07963745296001434,0.04188473895192146,0.12219025194644928,0.0,TN
23,2,4,0.07870154827833176,0.05571300536394119,0.15238261222839355,0.0,TN
24,2,5,0.07924027740955353,0.026586852967739105,0.13371151685714722,0.0,TN
25,2,6,0.0787869393825531,0.020337814465165138,0.06986008584499359,0.0,TN
26,2,7,0.0722184032201767,0.08254583925008774,0.12878121435642242,0.0,TN
27,2,14,0.06701746582984924,0.027852918952703476,0.11965811252593994,0.0,TN
28,2,16,0.07162421941757202,0.042790696024894714,0.10457418859004974,0.0,TN
29,2,17,0.0714004635810852,0.032068826258182526,0.10424576699733734,0.0,TN
30,2,22,0.07693417370319366,0.2018924504518509,0.07923365384340286,0.0,TN
31,2,26,0.07001535594463348,0.0829034298658371,0.1135355681180954,0.0,TN
32,2,27,0.0783754363656044,0.05635974928736687,0.10665063560009003,0.0,TN
33,3,0,0.09318047761917114,0.032074593007564545,0.10436733067035675,0.0,TN
34,3,1,0.09322965145111084,0.03689991682767868,0.10493866354227066,0.0,TN
35,3,2,0.07963745296001434,0.04188473895192146,0.12219025194644928,0.0,TN
36,3,4,0.08745655417442322,0.13917890191078186,0.7720750570297241,1.0,TP
37,3,5,0.08476370573043823,0.005147214513272047,0.13580375909805298,0.0,TN
38,3,6,0.08574216067790985,0.11361727118492126,0.7367457747459412,1.0,TP
39,3,7,0.07919307798147202,0.234340637922287,0.7630351781845093,1.0,TP
40,3,12,0.06683715432882309,0.023984476923942566,0.11238762736320496,0.0,TN
41,3,14,0.07073840498924255,0.01288506668061018,0.09771537780761719,0.0,TN
42,3,16,0.07404147833585739,0.050837915390729904,0.10940913110971451,0.0,TN
43,3,17,0.07511498034000397,0.046002186834812164,0.12421965599060059,0.0,TN
44,3,30,0.06694269925355911,0.017476139590144157,0.11074956506490707,0.0,TN
45,4,0,0.09173047542572021,0.1071450486779213,0.10977437347173691,0.0,TN
46,4,1,0.09176978468894958,0.09364452213048935,0.10993054509162903,0.0,TN
47,4,2,0.07870154827833176,0.05571300536394119,0.15238261222839355,0.0,TN
48,4,3,0.08745655417442322,0.13917890191078186,0.7720750570297241,1.0,TP
49,4,5,0.0837947204709053,0.0082734115421772,0.11415458470582962,0.0,TN
50,4,6,0.08465630561113358,0.32665809988975525,0.7374101877212524,0.0,FP
51,4,7,0.07822568714618683,0.31769421696662903,0.7397339344024658,0.0,FP
