repeat,fold,best_epoch,auc,f1,pr_auc,threshold,pred_mean_train,pred_std_train,pred_mean_test,pred_std_test
repeat_2,1,50,1.0,1.0,1.0,0.6998,0.4284214377403259,0.2715302109718323,0.4902588129043579,0.2921895980834961
repeat_2,2,103,0.9399999976158142,0.9090909361839294,0.8766666650772095,0.4816,0.3962842524051666,0.3482685089111328,0.3849277198314667,0.3599202632904053
repeat_2,3,70,1.0,1.0,1.0,0.7894,0.4479144215583801,0.29887568950653076,0.5338809490203857,0.31399187445640564
repeat_2,4,62,0.75,0.8571428656578064,0.6388888955116272,0.209,0.4009011387825012,0.3183170557022095,0.388884961605072,0.30691835284233093
repeat_2,5,141,1.0,1.0,1.0,0.6383,0.45232754945755005,0.3255908787250519,0.3212188184261322,0.3321363627910614
repeat_2,6,103,0.8528428077697754,0.75,0.7752923965454102,0.0923,0.3933756649494171,0.35320499539375305,0.3834889829158783,0.3635011911392212
