edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.08856721222400665,0.37717923521995544,0.06825197488069534,0.0,TN
1,0,2,0.09314464032649994,0.23661689460277557,0.06363743543624878,0.0,TN
2,0,3,0.0885419100522995,0.4879738688468933,0.06759075820446014,0.0,TN
3,0,4,0.08664000034332275,0.4306282699108124,0.0662534087896347,0.0,TN
4,0,5,0.08480939269065857,0.3299846649169922,0.060591790825128555,0.0,TN
5,0,6,0.08345131576061249,0.2727484405040741,0.06271231174468994,0.0,TN
6,0,7,0.08010916411876678,0.27351218461990356,0.06272377073764801,0.0,TN
7,0,8,0.08424295485019684,0.10681119561195374,0.060201555490493774,0.0,TN
8,0,38,0.08694902807474136,0.4787207543849945,0.061714790761470795,0.0,TN
9,0,40,0.09184389561414719,0.12690280377864838,0.06677274405956268,0.0,TN
10,1,0,0.08856721222400665,0.37717923521995544,0.06825197488069534,0.0,TN
11,1,2,0.09720991551876068,0.09847360849380493,0.7802039384841919,1.0,TP
12,1,3,0.09247923642396927,0.06276941299438477,0.12260545790195465,0.0,TN
13,1,4,0.09041140973567963,0.048811785876750946,0.06326313316822052,0.0,TN
14,1,5,0.08844093978404999,0.026982979848980904,0.07317591458559036,0.0,TN
15,1,6,0.08647355437278748,0.008527642115950584,0.06656791269779205,0.0,TN
16,1,7,0.0825498029589653,0.011408761143684387,0.06632216274738312,0.0,TN
17,1,8,0.08664828538894653,0.014544706791639328,0.06380996853113174,0.0,TN
18,1,38,0.09086890518665314,0.10728244483470917,0.4609977900981903,0.0,TN
19,1,40,0.09545651078224182,0.07290617376565933,0.09302815794944763,0.0,TN
20,2,0,0.09314464032649994,0.23661689460277557,0.06363743543624878,0.0,TN
21,2,1,0.09720991551876068,0.09847360849380493,0.7802039384841919,1.0,TP
22,2,3,0.09668730944395065,0.020305059850215912,0.07870061695575714,0.0,TN
23,2,4,0.09510341286659241,0.02619759552180767,0.06161220371723175,0.0,TN
24,2,5,0.09238353371620178,0.004861252848058939,0.06262385100126266,0.0,TN
25,2,6,0.09008866548538208,0.0004435058799572289,0.0638265535235405,0.0,TN
26,2,7,0.08549218624830246,0.0006193229928612709,0.061642132699489594,0.0,TN
27,2,8,0.08920323848724365,0.0010074824094772339,0.06150132417678833,0.0,TN
28,2,38,0.09575945138931274,0.12913186848163605,0.8118158578872681,1.0,TP
29,2,40,0.099445641040802,0.007363231852650642,0.07906897366046906,0.0,TN
30,3,0,0.0885419100522995,0.4879738688468933,0.06759075820446014,0.0,TN
31,3,1,0.09247923642396927,0.06276941299438477,0.12260545790195465,0.0,TN
32,3,2,0.09668730944395065,0.020305059850215912,0.07870061695575714,0.0,TN
33,3,4,0.09018240123987198,0.2930252254009247,0.8772960901260376,1.0,TP
34,3,5,0.0878819152712822,0.07840651273727417,0.5519542098045349,0.0,TN
35,3,6,0.0862235501408577,0.03737664967775345,0.08994081616401672,0.0,TN
36,3,7,0.08227232843637466,0.035215191543102264,0.09878166019916534,0.0,TN
37,3,8,0.08631287515163422,0.026225648820400238,0.07163183391094208,0.0,TN
38,3,38,0.0904492735862732,0.04752608388662338,0.07107460498809814,0.0,TN
39,3,40,0.09481753408908844,0.10480489581823349,0.1808711141347885,0.0,TN
40,4,0,0.08664000034332275,0.4306282699108124,0.0662534087896347,0.0,TN
41,4,1,0.09041140973567963,0.048811785876750946,0.06326313316822052,0.0,TN
42,4,2,0.09510341286659241,0.02619759552180767,0.06161220371723175,0.0,TN
43,4,3,0.09018240123987198,0.2930252254009247,0.8772960901260376,1.0,TP
44,4,5,0.08655598759651184,0.15113100409507751,0.08288826793432236,0.0,TN
45,4,6,0.08516141772270203,0.1465173214673996,0.07414600253105164,0.0,TN
46,4,7,0.08131459355354309,0.13580425083637238,0.0683804452419281,0.0,TN
47,4,8,0.08546089380979538,0.09884251654148102,0.06352376937866211,0.0,TN
48,4,38,0.08893387764692307,0.03149993717670441,0.05796489864587784,0.0,TN
49,4,40,0.09355935454368591,0.0728507786989212,0.0708572193980217,0.0,TN
50,5,0,0.08480939269065857,0.3299846649169922,0.060591790825128555,0.0,TN
51,5,1,0.08844093978404999,0.026982979848980904,0.07317591458559036,0.0,TN
52,5,2,0.09238353371620178,0.004861252848058939,0.06262385100126266,0.0,TN
53,5,3,0.0878819152712822,0.07840651273727417,0.5519542098045349,0.0,TN
54,5,4,0.08655598759651184,0.15113100409507751,0.08288826793432236,0.0,TN
55,5,6,0.08148030936717987,0.03149496391415596,0.8223005533218384,1.0,TP
56,5,7,0.07721374928951263,0.020094802603125572,0.5489355325698853,0.0,TN
57,5,8,0.0805107057094574,0.028005894273519516,0.07707802951335907,0.0,TN
58,5,38,0.086556077003479,0.0196982529014349,0.061290301382541656,0.0,TN
59,5,39,0.08106857538223267,0.016938423737883568,0.07159080356359482,0.0,TN
60,5,40,0.08959373086690903,0.024064552038908005,0.09154456853866577,0.0,TN
61,6,0,0.08345131576061249,0.2727484405040741,0.06271231174468994,0.0,TN
62,6,1,0.08647355437278748,0.008527642115950584,0.06656791269779205,0.0,TN
63,6,2,0.09008866548538208,0.0004435058799572289,0.0638265535235405,0.0,TN
