repeat,fold,best_epoch,auc,f1,pr_auc,pred_mean_train,pred_std_train,pred_mean_test,pred_std_test,node_accuracy,node_f1_background,node_f1_epithelial,node_f1_hyphal,node_support_background,node_support_epithelial,node_support_hyphal,threshold
nodetype_cv_k10_minFrac0_1_visual,1,202,0.9158948659896851,0.6693548560142517,0.6063367128372192,0.26069965958595276,0.25378745794296265,0.2780056595802307,0.2579459249973297,0.8226950168609619,0.6363636255264282,,0.9045643210411072,10.0,,131.0,0.6374
nodetype_cv_k10_minFrac0_1_visual,2,116,0.8961590528488159,0.5447470545768738,0.5227280259132385,0.2810657024383545,0.26067352294921875,0.3232593536376953,0.2657822370529175,0.6942675113677979,0.04545454680919647,,0.8181818127632141,4.0,,153.0,0.7366
nodetype_cv_k10_minFrac0_1_visual,3,96,0.9272271990776062,0.5,0.5505284070968628,0.30376484990119934,0.26034441590309143,0.29779303073883057,0.2758091688156128,0.6461538672447205,0.6000000238418579,0.6222222447395325,0.7111111283302307,21.0,21.0,23.0,0.8194
nodetype_cv_k10_minFrac0_1_visual,4,156,0.9501811861991882,0.6027397513389587,0.3938838243484497,0.28009912371635437,0.2578204274177551,0.21470533311367035,0.20953936874866486,0.694915235042572,0.6938775777816772,0.8936170339584351,0.27272728085517883,21.0,24.0,14.0,0.5309
nodetype_cv_k10_minFrac0_1_visual,5,82,0.9035463333129883,0.5488371849060059,0.4467979371547699,0.2743762731552124,0.2664421796798706,0.2663070559501648,0.25873470306396484,0.6830986142158508,0.260869562625885,0.6037735939025879,0.8108108043670654,8.0,31.0,103.0,0.6834
nodetype_cv_k10_minFrac0_1_visual,6,58,0.8909128308296204,0.5128205418586731,0.44209831953048706,0.29262077808380127,0.2662888169288635,0.28084123134613037,0.2852831780910492,0.6425120830535889,0.302325576543808,0.38297873735427856,0.790035605430603,20.0,25.0,162.0,0.5552
