edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.09871196746826172,0.060640979558229446,0.11757495999336243,0.0,TN
1,0,2,0.09985050559043884,0.013677946291863918,0.14501959085464478,0.0,TN
2,0,3,0.08543466031551361,0.09114556014537811,0.18632040917873383,0.0,TN
3,0,6,0.09712383896112442,0.03385092318058014,0.1462150365114212,0.0,TN
4,0,7,0.09433571994304657,0.06482072919607162,0.10620573163032532,0.0,TN
5,0,8,0.07860054820775986,0.037476107478141785,0.14261454343795776,0.0,TN
6,0,9,0.08678775280714035,0.07054706662893295,0.09838803857564926,0.0,TN
7,0,10,0.07421225309371948,0.13294026255607605,0.09741295874118805,0.0,TN
8,0,11,0.08058340102434158,0.027033863589167595,0.1657753735780716,0.0,TN
9,0,14,0.0759197548031807,0.05809900164604187,0.13702815771102905,0.0,TN
10,1,0,0.09871196746826172,0.060640979558229446,0.11757495999336243,0.0,TN
11,1,2,0.10394617915153503,0.009256400167942047,0.7691134214401245,0.0,FP
12,1,3,0.09447422623634338,0.06320194900035858,0.1010604202747345,0.0,TN
13,1,4,0.09193143248558044,0.09037115424871445,0.1305159628391266,0.0,TN
14,1,5,0.10267370939254761,0.07229447364807129,0.8528521060943604,1.0,TP
15,1,8,0.08695004880428314,0.1078891009092331,0.11764224618673325,0.0,TN
16,1,9,0.09787006676197052,0.0705389529466629,0.13325083255767822,0.0,TN
17,1,10,0.08093112707138062,0.28805676102638245,0.1217966377735138,0.0,TN
18,1,11,0.08702670782804489,0.047884501516819,0.12256845086812973,0.0,TN
19,1,13,0.09403754770755768,0.043541572988033295,0.7037934064865112,0.0,TN
20,2,0,0.09985050559043884,0.013677946291863918,0.14501959085464478,0.0,TN
21,2,1,0.10394617915153503,0.009256400167942047,0.7691134214401245,0.0,FP
22,2,3,0.09490738809108734,0.0138064194470644,0.4735143482685089,0.0,TN
23,2,4,0.09181834757328033,0.0467044971883297,0.13261722028255463,0.0,TN
24,2,5,0.10282571613788605,0.10432612150907516,0.18412628769874573,0.0,TN
25,2,6,0.11016331613063812,0.012820400297641754,0.1721465289592743,0.0,TN
26,2,7,0.10848943144083023,0.051073309034109116,0.14465706050395966,0.0,TN
27,2,8,0.0875820741057396,0.08220280706882477,0.14110679924488068,0.0,TN
28,2,9,0.09773540496826172,0.04748053103685379,0.11967682093381882,0.0,TN
29,2,10,0.0780496746301651,0.212044358253479,0.10953518748283386,0.0,TN
30,2,11,0.08654201030731201,0.031178206205368042,0.2295064479112625,0.0,TN
31,3,0,0.08543466031551361,0.09114556014537811,0.18632040917873383,0.0,TN
32,3,1,0.09447422623634338,0.06320194900035858,0.1010604202747345,0.0,TN
33,3,2,0.09490738809108734,0.0138064194470644,0.4735143482685089,0.0,TN
34,3,4,0.07995285093784332,0.09928987920284271,0.10505610704421997,0.0,TN
35,3,5,0.09148061275482178,0.14957678318023682,0.1021539568901062,0.0,TN
36,3,6,0.09518258273601532,0.11091955751180649,0.11500270664691925,0.0,TN
37,3,7,0.09294914454221725,0.1662444770336151,0.11802877485752106,0.0,TN
38,3,8,0.0752595067024231,0.0283735990524292,0.09787686914205551,0.0,TN
39,3,9,0.08425848931074142,0.14287295937538147,0.1443261206150055,0.0,TN
40,3,10,0.0686098262667656,0.15138909220695496,0.18540193140506744,0.0,TN
41,3,11,0.07570366561412811,0.07515128701925278,0.11996401846408844,0.0,TN
42,3,13,0.0821102112531662,0.07632940262556076,0.0976477563381195,0.0,TN
43,4,1,0.09193143248558044,0.09037115424871445,0.1305159628391266,0.0,TN
44,4,2,0.09181834757328033,0.0467044971883297,0.13261722028255463,0.0,TN
45,4,3,0.07995285093784332,0.09928987920284271,0.10505610704421997,0.0,TN
46,4,5,0.08753806352615356,0.06667777895927429,0.18917132914066315,0.0,TN
47,4,8,0.07272811233997345,0.07045132666826248,0.11663563549518585,0.0,TN
48,4,10,0.07112164050340652,0.07377056777477264,0.12804844975471497,0.0,TN
49,4,11,0.07316648215055466,0.045512281358242035,0.12099409103393555,0.0,TN
50,4,26,0.0870913714170456,0.0058181751519441605,0.13429497182369232,0.0,TN
51,4,27,0.07182930409908295,0.18980823457241058,0.10241557657718658,0.0,TN
52,4,28,0.07154996693134308,0.24567526578903198,0.10333748906850815,0.0,TN
53,4,29,0.08323435485363007,0.03979243338108063,0.09748825430870056,0.0,TN
54,5,1,0.10267370939254761,0.07229447364807129,0.8528521060943604,1.0,TP
55,5,2,0.10282571613788605,0.10432612150907516,0.18412628769874573,0.0,TN
56,5,3,0.09148061275482178,0.14957678318023682,0.1021539568901062,0.0,TN
57,5,4,0.08753806352615356,0.06667777895927429,0.18917132914066315,0.0,TN
58,5,8,0.08346745371818542,0.1034514307975769,0.11661487072706223,0.0,TN
59,5,10,0.07876362651586533,0.18741939961910248,0.6871793270111084,0.0,TN
60,5,11,0.08304797112941742,0.05993219465017319,0.10609882324934006,0.0,TN
61,5,13,0.09013809263706207,0.04501718282699585,0.399960994720459,1.0,FN
62,5,14,0.08075028657913208,0.08575790375471115,0.09810318052768707,0.0,TN
63,5,17,0.08804334700107574,0.054703742265701294,0.10092458128929138,0.0,TN
64,6,0,0.09712383896112442,0.03385092318058014,0.1462150365114212,0.0,TN
65,6,2,0.11016331613063812,0.012820400297641754,0.1721465289592743,0.0,TN
66,6,3,0.09518258273601532,0.11091955751180649,0.11500270664691925,0.0,TN
67,6,7,0.09751898050308228,0.013531800359487534,0.7641994953155518,0.0,FP
68,6,8,0.08698892593383789,0.097016841173172,0.12149438261985779,0.0,TN
69,6,9,0.09573373943567276,0.07842531055212021,0.1645839959383011,0.0,TN
70,6,10,0.08125851303339005,0.10332880169153214,0.09059605002403259,0.0,TN
71,6,11,0.08826801180839539,0.01927364431321621,0.2456604242324829,0.0,TN
72,6,12,0.09955793619155884,0.04348072037100792,0.14952817559242249,1.0,FN
73,6,14,0.08234477043151855,0.038538217544555664,0.2924530506134033,0.0,TN
74,7,0,0.09433571994304657,0.06482072919607162,0.10620573163032532,0.0,TN
75,7,2,0.10848943144083023,0.051073309034109116,0.14465706050395966,0.0,TN
76,7,3,0.09294914454221725,0.1662444770336151,0.11802877485752106,0.0,TN
77,7,6,0.09751898050308228,0.013531800359487534,0.7641994953155518,0.0,FP
78,7,8,0.08506028354167938,0.12929901480674744,0.13534125685691833,0.0,TN
79,7,9,0.0933077484369278,0.029320746660232544,0.6628661155700684,1.0,FN
80,7,10,0.07914254814386368,0.21095962822437286,0.1338222771883011,0.0,TN
81,7,11,0.0868116244673729,0.03972139209508896,0.21509137749671936,0.0,TN
82,7,12,0.09775814414024353,0.060241103172302246,0.13019058108329773,0.0,TN
83,7,14,0.08067810535430908,0.06816339492797852,0.20401790738105774,0.0,TN
84,8,0,0.07860054820775986,0.037476107478141785,0.14261454343795776,0.0,TN
85,8,1,0.08695004880428314,0.1078891009092331,0.11764224618673325,0.0,TN
86,8,2,0.0875820741057396,0.08220280706882477,0.14110679924488068,0.0,TN
87,8,3,0.0752595067024231,0.0283735990524292,0.09787686914205551,0.0,TN
88,8,4,0.07272811233997345,0.07045132666826248,0.11663563549518585,0.0,TN
89,8,5,0.08346745371818542,0.1034514307975769,0.11661487072706223,0.0,TN
90,8,6,0.08698892593383789,0.097016841173172,0.12149438261985779,0.0,TN
91,8,7,0.08506028354167938,0.12929901480674744,0.13534125685691833,0.0,TN
