edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.09433864802122116,0.08545713126659393,0.10368736833333969,0.0,TN
1,0,2,0.0916447788476944,0.16603705286979675,0.11916570365428925,0.0,TN
2,0,3,0.10024182498455048,0.13783419132232666,0.08240919560194016,0.0,TN
3,0,7,0.0811140388250351,0.031018484383821487,0.09506919234991074,0.0,TN
4,0,8,0.08731677383184433,0.200279101729393,0.10089048743247986,0.0,TN
5,0,9,0.08952024579048157,0.052691616117954254,0.09459760785102844,0.0,TN
6,0,10,0.09102506190538406,0.11678402870893478,0.10972999036312103,0.0,TN
7,0,11,0.08200587332248688,0.031326476484537125,0.09983126819133759,0.0,TN
8,0,14,0.09232327342033386,0.16393037140369415,0.10339774191379547,0.0,TN
9,0,15,0.09163200855255127,0.031584687530994415,0.08936455845832825,0.0,TN
10,1,0,0.09433864802122116,0.08545713126659393,0.10368736833333969,0.0,TN
11,1,2,0.0911019891500473,0.4261009097099304,0.7950775623321533,1.0,FN
12,1,3,0.10141544789075851,0.014632468111813068,0.09012731909751892,0.0,TN
13,1,7,0.07839217036962509,0.008409369736909866,0.191572368144989,0.0,TN
14,1,8,0.08401323854923248,0.060481175780296326,0.2218104898929596,0.0,TN
15,1,9,0.08697088062763214,0.03121502511203289,0.6828857064247131,1.0,FN
16,1,10,0.09084875881671906,0.049229465425014496,0.09283270686864853,0.0,TN
17,1,11,0.07822391390800476,0.009203342720866203,0.1325642168521881,0.0,TN
18,1,12,0.09540805220603943,0.033028941601514816,0.08500868082046509,0.0,TN
19,1,14,0.09108132123947144,0.038480427116155624,0.10783974826335907,0.0,TN
20,1,15,0.08909521251916885,0.006968880072236061,0.08846502751111984,0.0,TN
21,2,0,0.0916447788476944,0.16603705286979675,0.11916570365428925,0.0,TN
22,2,1,0.0911019891500473,0.4261009097099304,0.7950775623321533,1.0,FN
23,2,3,0.09902268648147583,0.042962539941072464,0.09943651407957077,0.0,TN
24,2,7,0.07685976475477219,0.025310752913355827,0.1995062530040741,0.0,TN
25,2,8,0.08206777274608612,0.11820605397224426,0.20342278480529785,0.0,TN
26,2,9,0.0843273401260376,0.04236296936869621,0.3760191798210144,0.0,TN
27,2,10,0.08946605771780014,0.12562628090381622,0.3464019000530243,0.0,TN
28,2,11,0.07588881254196167,0.021567821502685547,0.29071804881095886,0.0,TN
29,2,12,0.08985845744609833,0.06754525005817413,0.19401609897613525,0.0,TN
30,2,14,0.09091979265213013,0.08554127812385559,0.1418217420578003,0.0,TN
31,2,15,0.08702965825796127,0.023693295195698738,0.14260287582874298,0.0,TN
32,3,0,0.10024182498455048,0.13783419132232666,0.08240919560194016,0.0,TN
33,3,1,0.10141544789075851,0.014632468111813068,0.09012731909751892,0.0,TN
34,3,2,0.09902268648147583,0.042962539941072464,0.09943651407957077,0.0,TN
35,3,7,0.08377234637737274,0.009533584117889404,0.0806293785572052,0.0,TN
36,3,8,0.0942307710647583,0.10219867527484894,0.07691442966461182,0.0,TN
37,3,9,0.09388789534568787,0.011667197570204735,0.07268939912319183,0.0,TN
38,3,11,0.08498911559581757,0.013494281098246574,0.08040200173854828,0.0,TN
39,3,14,0.09848656505346298,0.13923531770706177,0.2202354073524475,0.0,TN
40,3,15,0.09248194098472595,0.006193659733980894,0.19071637094020844,0.0,TN
41,3,16,0.103221595287323,0.04081524908542633,0.21931186318397522,0.0,TN
42,4,5,0.10113686323165894,0.485693097114563,0.7819153070449829,0.0,TN
43,4,6,0.10182233154773712,0.03400665149092674,0.8084511756896973,0.0,TN
44,4,17,0.10173219442367554,0.02502831257879734,0.08781783282756805,0.0,TN
45,4,18,0.10048571974039078,0.0307087954133749,0.11329220235347748,0.0,TN
46,4,19,0.08985991775989532,0.022108374163508415,0.08669568598270416,0.0,TN
47,4,20,0.08638729155063629,0.02405313402414322,0.09505084902048111,0.0,TN
48,4,21,0.09135305881500244,0.03369537740945816,0.09701303392648697,0.0,TN
49,4,22,0.08733825385570526,0.006241234019398689,0.09760581701993942,0.0,TN
50,4,30,0.0855015441775322,0.012499521486461163,0.09103581309318542,0.0,TN
51,4,31,0.09009774029254913,0.003971287980675697,0.08029433339834213,0.0,TN
